,CHICK,CHILI,CHILL,CHOCK,CHUCK,CHUMP,CHUNK,CINCH,CIVIC,CIVIL,CLICK,CLIFF,CLING,CLINK,CLOCK,CLOTH,CLOUT,CLOWN,CLUCK,CLUMP,CLUNG,COLON,COMFY,COMIC,CONCH,CONIC,COUCH,COUGH,COUNT,COYLY,CUMIN,CYNIC,FICUS,FIFTH,FIFTY,FIGHT,FILLY,FILMY,FILTH,FINCH,FISHY,FIZZY,FLICK,FLING,FLINT,FLOCK,FLOSS,FLOUT,FLOWN,FLUFF,FLUNG,FLUNK,FLUSH,FOCUS,FOGGY,FOIST,FOLIO,FOLLY,FULLY,FUNGI,FUNKY,FUNNY,FUSSY,FUZZY,GHOST,GHOUL,GIPSY,GLINT,GLOOM,GLOSS,GLYPH,GOING,GOLLY,GOOFY,GUILT,GULCH,GULLY,GUMMY,GUPPY,GUSTO,GUSTY,GYPSY,HILLY,HIPPO,HIPPY,HITCH,HOIST,HOLLY,HOTLY,HUMPH,HUMUS,HUNCH,HUNKY,HUSKY,HUSSY,HUTCH,ICILY,ICING,IGLOO,IMPLY,INGOT,INPUT,IONIC,ITCHY,JIFFY,JOINT,JOIST,JOLLY,JOUST,JUICY,JUMPY,JUNTO,KINKY,KIOSK,KITTY,KNOCK,KNOLL,KNOWN,LIGHT,LIMIT,LINGO,LOCUS,LOFTY,LOGIC,LOGIN,LOOPY,LOUSY,LOWLY,LUCKY,LUMPY,LUNCH,LUPUS,LUSTY,LYING,LYMPH,LYNCH,MIGHT,MILKY,MIMIC,MINIM,MINTY,MINUS,MISSY,MOGUL,MOIST,MONTH,MOSSY,MOTIF,MOTTO,MOULT,MOUNT,MOUTH,MUCKY,MUCUS,MULCH,MUMMY,MUNCH,MUSHY,MUSIC,MUSKY,MUSTY,NIGHT,NINNY,NINTH,NOISY,NOTCH,NUTTY,NYLON,NYMPH,ONION,OPIUM,OPTIC,OUGHT,OUTGO,OWING,PHONY,PHOTO,PICKY,PIGGY,PILOT,PINCH,PINKY,PINTO,PITCH,PITHY,PIVOT,PLUCK,PLUMP,PLUNK,PLUSH,POINT,POLYP,POOCH,POPPY,POSIT,POUCH,POUTY,PUFFY,PULPY,PUNCH,PUPIL,PUPPY,PUSHY,PUTTY,PYGMY,QUICK,QUILL,QUILT,QUOTH,SCION,SCOFF,SCOOP,SCOUT,SCOWL,SHIFT,SHINY,SHOCK,SHOOK,SHOOT,SHOUT,SHOWN,SHOWY,SHUCK,SHUNT,SHUSH,SHYLY,SIGHT,SILKY,SILLY,SISSY,SIXTH,SIXTY,SKIFF,SKILL,SKIMP,SKULK,SKULL,SKUNK,SLICK,SLIMY,SLING,SLINK,SLOOP,SLOSH,SLOTH,SLUMP,SLUNG,SLUNK,SLUSH,SLYLY,SMITH,SMOCK,SMOKY,SNIFF,SNOOP,SNOUT,SNOWY,SNUCK,SNUFF,SOGGY,SONIC,SOOTH,SOOTY,SOUTH,SPICY,SPIKY,SPILL,SPILT,SPINY,SPLIT,SPOIL,SPOOF,SPOOK,SPOOL,SPOON,SPOUT,SPUNK,STICK,STIFF,STILL,STILT,STING,STINK,STINT,STOCK,STOIC,STOMP,STONY,STOOL,STOOP,STOUT,STUCK,STUFF,STUMP,STUNG,STUNK,STUNT,SUING,SULKY,SULLY,SUNNY,SUSHI,SWIFT,SWILL,SWING,SWISH,SWOON,SWOOP,SWUNG,THICK,THIGH,THING,THINK,THONG,THUMP,TIGHT,TIPSY,TONIC,TOOTH,TOPIC,TOUCH,TOUGH,TOXIC,TOXIN,TULIP,TUNIC,TWIST,TWIXT,TYING,UNCUT,UNFIT,UNIFY,UNION,UNITY,UNLIT,UNTIL,UNZIP,USING,VIGIL,VINYL,VISIT,VOMIT,VOUCH,VYING,WHICH,WHIFF,WHINY,WHISK,WHOOP,WIGHT,WILLY,WIMPY,WINCH,WISPY,WITCH,WITTY,WOOLY,WOOZY,YOUNG,YOUTH
NIGHT,17,13,14,29,29,20,4,1,44,33,42,37,3,12,88,12,12,39,96,68,2,42,58,78,6,24,19,8,1,52,32,23,28,7,13,6,22,18,6,1,5,28,33,2,3,68,66,9,43,129,2,27,18,37,7,8,64,69,89,15,26,16,73,128,6,6,8,2,18,13,9,2,16,20,7,8,14,22,23,9,10,27,15,16,15,7,6,36,17,28,38,8,5,30,34,14,24,4,17,60,1,5,23,7,28,4,10,83,10,31,107,9,1,37,11,34,37,44,6,6,1,31,30,7,1,72,26,71,59,70,8,63,26,3,27,6,6,21,39,1,1,1,23,6,8,4,65,29,43,11,1,12,77,75,26,135,8,5,47,64,27,1,1,1,2,1,1,1,1,16,37,34,7,11,2,8,11,17,8,7,1,1,1,7,7,8,70,95,24,14,3,72,24,113,11,17,28,101,81,7,66,122,6,42,11,54,61,11,13,14,62,59,10,45,5,6,16,32,6,6,12,21,20,1,13,34,6,20,20,27,7,12,57,49,43,74,74,28,29,30,3,21,59,19,11,53,2,20,20,89,7,58,52,21,38,3,26,28,43,7,13,12,28,11,24,40,38,8,19,8,38,75,81,59,43,10,25,26,29,28,9,2,12,5,31,25,31,8,30,34,8,36,41,32,2,9,2,4,51,57,12,8,11,48,5,10,48,90,4,11,6,1,2,1,18,6,11,8,10,29,8,6,30,10,30,9,12,16,2,6,5,14,13,3,4,12,34,4,7,1,7,18,19,5,12,17,5,18,32,6,23,19,1,18,6,10,71,122,1,11
NINNY,47,31,32,98,105,74,0,0,44,33,42,37,0,0,88,43,29,39,96,68,0,42,40,78,0,0,61,48,0,47,32,0,28,23,16,19,17,14,15,0,11,22,33,0,0,68,66,34,43,129,0,0,40,37,53,24,64,44,36,0,0,0,30,53,49,34,13,0,92,65,33,0,47,53,26,59,36,47,43,38,27,37,18,27,17,23,24,43,32,103,74,0,0,27,32,79,20,0,70,16,17,26,0,22,22,0,29,51,46,27,37,0,0,37,16,34,37,44,16,19,0,31,32,45,20,34,17,50,34,22,0,63,17,0,28,0,17,14,39,0,0,0,15,52,23,0,34,48,119,34,0,43,44,75,60,54,0,25,47,29,26,0,1,0,0,0,0,0,0,16,37,38,41,61,0,0,78,15,19,15,0,0,0,18,12,21,70,95,0,36,0,37,88,51,34,46,20,36,27,0,66,47,24,37,50,54,61,28,53,14,62,59,26,45,26,0,54,68,63,31,33,36,56,0,89,33,16,10,14,19,19,14,57,49,43,74,74,0,29,13,0,0,59,44,31,53,0,0,47,39,24,58,27,21,38,19,8,28,43,40,0,63,36,31,13,11,38,16,0,21,38,75,81,59,43,36,0,22,32,24,24,0,0,0,44,23,54,0,49,64,47,48,72,63,0,0,0,0,19,23,0,63,29,48,0,51,48,90,0,26,36,0,0,0,72,24,9,0,107,38,39,41,49,26,28,0,36,49,0,26,23,4,13,3,17,17,34,0,34,0,20,60,57,0,49,58,0,46,107,21,18,13,0,11,20,18,50,67,0,31
NINTH,17,13,14,29,29,20,4,0,44,33,42,37,11,12,88,4,18,39,96,68,18,42,58,78,0,0,10,8,2,52,32,0,28,2,3,5,22,18,2,0,8,28,33,20,6,68,66,21,43,129,29,27,15,37,90,12,64,69,89,0,0,0,73,128,9,17,13,6,92,65,26,19,67,90,22,9,86,109,94,7,9,83,15,16,15,4,7,36,17,17,38,0,0,30,34,9,24,13,70,60,5,9,0,10,28,4,15,83,17,31,107,0,0,37,5,34,37,44,6,13,0,31,3,45,20,72,26,71,59,70,0,63,7,18,25,0,7,21,39,0,0,0,23,52,14,0,65,29,9,22,1,4,77,75,7,135,0,29,47,64,7,0,1,1,0,0,0,0,0,16,37,34,10,27,18,8,5,17,18,10,0,0,0,4,4,11,70,95,24,13,4,72,10,113,16,7,5,101,81,0,66,122,24,9,133,54,61,22,5,14,62,59,12,45,6,6,16,32,9,8,12,21,20,3,19,34,6,20,20,27,3,4,57,49,43,74,74,28,29,30,20,21,59,17,2,53,22,20,17,89,3,58,52,21,38,5,26,28,43,59,0,3,3,3,24,40,38,14,19,15,38,75,81,59,43,15,25,26,29,28,18,10,12,7,31,25,31,8,30,34,16,36,41,32,7,9,7,16,51,57,0,22,16,48,22,8,48,90,25,11,6,1,2,1,18,7,11,0,5,29,5,8,30,10,30,0,14,15,6,12,8,14,13,2,8,12,34,16,34,0,12,25,10,20,4,17,5,18,32,6,23,19,0,18,4,5,71,122,7,5
NOISY,40,30,30,45,105,74,17,33,62,44,35,33,6,6,38,11,9,10,96,68,18,7,14,7,8,4,29,23,2,9,32,6,28,45,10,32,9,9,26,28,5,12,28,5,4,35,5,14,17,129,29,27,11,9,14,1,7,7,36,14,7,2,4,53,3,26,1,6,31,6,33,1,7,10,16,59,36,47,43,25,13,7,7,23,6,33,1,10,8,103,60,32,4,14,4,79,7,6,21,16,3,26,4,22,11,1,1,10,2,6,37,19,6,5,10,14,19,17,22,28,7,10,5,7,3,5,2,9,34,22,22,48,11,3,28,8,31,9,57,35,5,11,1,22,1,5,2,2,26,12,7,22,44,67,60,54,32,15,35,16,14,1,1,1,1,1,2,1,3,4,7,6,44,54,3,1,28,6,9,7,29,5,7,24,5,10,70,95,24,9,1,10,24,18,1,24,14,36,27,28,66,47,11,37,50,40,42,21,27,1,9,9,2,9,2,1,9,11,5,2,1,3,15,1,9,10,2,1,1,1,3,1,6,7,6,16,16,1,7,1,1,1,9,5,3,10,1,1,9,15,2,8,2,2,1,1,1,1,1,3,1,5,3,2,1,1,8,3,1,8,5,9,11,9,1,2,1,2,3,3,3,1,1,1,3,1,4,1,3,5,2,9,9,6,1,1,1,1,8,8,1,8,2,6,1,4,1,11,1,20,26,6,6,9,72,38,1,2,24,2,17,18,2,2,28,14,1,38,2,26,23,4,5,4,17,17,34,3,42,7,21,2,28,3,40,44,3,4,41,37,9,7,31,3,30,10,7,15,1,16
NOTCH,13,9,9,4,9,7,5,1,31,22,9,21,7,5,4,2,5,4,10,20,9,4,12,7,1,1,2,2,2,11,3,4,11,4,31,15,73,60,4,1,31,108,11,20,4,6,40,9,17,129,29,27,15,12,34,10,20,34,89,15,26,16,73,128,6,5,37,4,31,34,26,4,34,29,11,11,86,109,94,13,20,83,35,28,37,1,7,14,1,17,38,1,5,30,34,3,27,12,43,51,4,4,3,4,106,2,11,34,11,10,107,6,21,35,3,2,19,17,12,26,13,10,17,10,5,29,18,37,26,70,1,63,26,17,25,1,12,50,42,37,9,10,46,22,8,1,24,2,2,8,3,1,34,41,11,135,1,29,12,64,27,1,1,1,1,1,1,1,2,10,47,1,8,3,11,3,6,21,76,18,1,19,6,2,2,22,8,95,24,13,2,32,5,39,10,2,11,101,81,1,30,122,24,4,133,4,46,12,1,4,18,15,5,16,11,7,6,15,7,3,3,12,11,3,19,34,12,30,35,60,4,14,75,51,50,74,74,28,11,27,14,10,30,11,3,53,22,20,17,89,4,6,36,23,16,5,17,7,43,27,3,3,14,1,17,38,41,14,14,14,19,38,44,30,14,9,25,3,26,22,18,5,5,4,2,3,15,7,23,21,12,4,41,32,7,9,7,12,51,57,12,17,20,56,18,27,15,42,25,2,9,2,2,2,18,12,16,2,1,2,1,3,2,4,9,1,16,34,5,2,4,9,6,2,4,1,12,12,100,22,21,11,3,22,13,42,7,30,15,15,72,74,1,45,2,3,33,38,9,1
NUTTY,82,57,57,98,47,30,13,25,138,87,76,77,14,11,88,0,10,39,40,26,12,42,40,47,36,15,40,32,3,47,6,5,26,0,0,16,30,20,0,21,22,47,67,20,4,68,66,12,43,49,15,14,20,24,53,4,44,44,18,1,1,1,14,25,10,32,19,4,92,65,33,12,47,53,6,14,20,20,20,0,0,37,31,39,37,0,2,43,0,24,23,2,1,15,18,0,36,17,44,18,2,4,15,8,46,1,4,51,7,27,16,0,4,35,2,34,37,44,15,26,11,19,0,31,18,34,16,50,17,11,2,20,0,4,28,8,14,24,112,37,0,8,29,37,3,0,34,0,4,6,4,0,17,22,16,23,2,13,16,11,0,1,1,0,1,0,1,1,3,25,45,0,6,0,12,6,0,35,38,8,21,3,0,0,0,9,29,35,14,19,1,37,88,51,2,28,0,18,17,2,26,23,11,1,50,30,33,8,0,8,62,59,6,45,6,2,54,68,11,6,33,36,33,5,42,33,6,18,21,36,0,0,75,51,50,31,31,18,35,15,14,10,59,44,0,20,16,15,27,39,0,58,27,23,38,2,8,4,9,40,5,0,0,0,20,20,41,14,3,14,14,75,81,59,43,5,15,21,26,22,18,5,5,4,31,3,31,3,30,34,8,15,17,16,9,9,5,8,11,14,1,19,20,56,18,57,48,90,19,27,30,4,4,8,18,18,3,5,0,9,12,11,11,6,9,1,16,34,1,4,4,3,23,0,4,0,24,8,100,6,21,9,40,4,88,91,2,46,107,18,35,31,20,21,0,2,50,67,5,0
NYLON,82,27,24,45,105,74,17,25,138,45,26,27,2,1,17,12,11,0,39,30,3,0,1,40,14,13,31,25,11,1,0,2,25,70,7,56,2,2,9,21,3,8,23,5,5,14,16,12,0,46,5,6,24,17,1,11,1,1,2,15,5,2,11,11,16,10,3,5,2,13,20,13,1,1,15,13,2,5,4,29,7,3,2,49,2,69,9,1,1,103,74,32,4,7,7,79,4,17,1,2,4,8,13,3,8,11,13,1,17,5,7,19,3,35,7,14,4,0,32,44,5,6,1,10,0,1,1,1,4,2,8,38,4,1,1,1,60,2,112,37,2,10,6,11,12,14,1,26,37,14,14,29,7,75,13,9,32,7,24,9,8,0,0,0,0,0,0,1,0,0,47,29,44,54,11,1,28,3,3,2,21,2,11,46,2,5,29,39,6,25,9,1,10,1,11,18,1,7,1,28,24,7,6,6,3,55,19,18,27,0,38,3,17,14,36,1,35,5,2,22,0,3,56,17,89,4,38,2,2,8,50,7,75,24,50,31,28,28,19,3,5,4,1,17,14,30,5,6,29,6,39,34,4,23,1,9,2,28,43,1,6,7,1,13,3,4,21,19,2,10,11,3,3,1,0,22,25,40,62,27,29,16,11,16,21,11,25,1,1,2,25,48,72,63,22,19,24,12,2,2,2,26,56,29,18,57,0,3,25,55,73,14,9,9,72,73,3,10,8,15,23,27,24,0,6,11,69,118,3,26,10,3,0,3,2,5,12,12,53,1,75,31,30,3,88,91,1,46,4,63,2,4,20,4,60,7,1,1,2,3
NYMPH,24,17,17,29,29,2,4,1,138,87,76,77,14,11,88,4,29,39,96,2,18,42,2,8,1,15,10,8,6,3,1,2,25,21,7,35,3,1,12,1,5,8,67,20,14,68,66,34,43,129,29,27,15,37,5,32,44,4,4,15,5,2,11,11,16,17,3,16,23,65,1,12,2,5,27,9,2,2,2,38,7,2,2,3,3,7,12,1,1,2,2,1,1,4,4,5,3,17,44,1,16,3,15,3,8,10,39,4,46,5,2,14,3,35,7,34,37,44,26,7,11,31,3,31,18,1,4,4,3,1,1,17,3,1,1,1,5,1,6,1,1,1,2,4,10,1,2,12,18,4,1,2,2,9,2,2,1,2,4,2,2,1,1,1,1,1,2,1,1,25,3,18,19,61,12,1,5,3,2,7,1,1,2,4,3,13,16,2,3,1,1,12,4,3,9,3,3,3,1,1,10,3,3,3,2,55,46,32,10,8,62,21,26,45,19,2,16,32,18,10,12,4,20,7,19,2,22,3,3,8,17,7,75,51,5,74,74,28,35,1,14,10,18,17,10,2,22,20,17,6,5,16,2,23,5,19,7,28,43,5,5,16,8,9,4,4,18,14,1,14,11,31,28,21,7,11,3,40,62,37,37,16,11,16,44,24,7,4,49,22,47,48,72,4,22,19,24,12,4,4,2,17,56,56,18,27,48,25,25,13,16,8,7,11,2,36,4,10,21,15,4,9,51,22,9,11,69,118,3,26,10,3,2,3,6,6,3,12,100,6,75,8,10,3,16,42,2,30,11,33,3,2,1,3,9,7,4,9,7,4
ONION,40,30,30,45,105,74,17,33,62,44,35,33,6,6,38,11,9,0,96,68,18,0,43,11,14,4,31,25,11,34,0,23,20,45,41,32,51,43,26,28,38,77,28,5,4,35,40,14,0,129,29,27,40,17,49,4,8,43,89,14,26,16,73,128,16,26,33,6,0,34,62,3,38,10,16,59,86,109,94,29,35,83,48,23,64,33,4,32,17,103,74,32,25,42,50,79,32,6,0,60,0,0,3,29,76,3,4,44,17,37,107,19,29,22,38,0,0,2,22,28,7,11,21,7,0,9,13,39,59,70,22,63,24,4,62,31,31,44,57,35,17,20,50,31,3,14,30,8,37,23,14,29,77,75,60,135,32,42,47,64,42,14,13,22,3,11,33,0,57,1,0,0,0,0,0,13,28,47,60,0,29,26,7,24,35,0,70,95,24,36,3,29,10,47,5,18,25,101,81,28,66,122,44,65,133,40,42,21,27,0,38,0,17,26,15,2,35,0,0,22,0,33,56,17,89,40,21,30,34,55,32,30,26,19,29,74,74,28,16,16,4,4,0,30,12,53,22,20,47,89,18,34,36,0,0,0,0,0,0,23,4,7,7,13,16,21,21,13,2,21,6,0,0,0,0,22,25,12,20,14,14,3,3,3,21,8,25,8,0,0,25,48,72,63,22,19,24,1,51,57,12,63,17,18,4,26,0,0,25,20,26,6,6,9,72,38,27,3,8,6,23,27,8,0,28,14,21,38,4,0,0,0,0,0,0,0,0,1,42,23,27,8,30,4,40,44,4,22,0,37,52,62,31,43,30,42,13,16,12,29
OPIUM,40,30,30,45,47,3,30,31,62,44,35,33,17,14,38,11,1,24,40,3,21,15,3,1,23,6,9,7,2,34,1,41,2,45,41,32,51,7,26,25,38,77,28,18,10,35,40,1,30,49,25,27,20,2,49,4,8,43,39,1,28,35,30,58,16,2,5,12,1,34,21,1,38,10,3,21,39,5,14,5,16,22,48,5,11,33,4,32,17,5,2,16,18,19,23,23,32,26,21,2,6,1,5,29,76,1,4,44,3,3,7,10,43,22,38,38,35,51,22,2,13,1,21,7,4,4,6,39,25,4,7,1,10,21,4,29,6,5,5,1,3,1,4,1,1,4,2,1,4,1,1,1,5,1,2,1,4,3,1,5,4,23,54,25,1,13,25,45,7,1,1,1,1,1,1,3,1,8,11,1,9,8,2,8,5,2,7,3,5,5,1,7,1,15,2,2,1,10,8,4,1,9,4,6,2,5,5,4,7,1,38,6,2,26,15,9,35,39,21,2,26,33,33,19,42,40,21,30,34,55,32,30,26,19,1,31,31,30,16,1,8,6,9,30,12,3,13,15,27,89,1,9,10,15,7,2,25,25,29,23,5,7,7,2,1,1,1,1,1,1,1,2,2,2,2,1,1,12,20,14,14,13,9,13,21,8,1,11,16,4,2,22,28,4,17,20,23,1,17,19,21,9,17,18,13,26,35,9,24,20,26,17,9,14,3,38,2,4,8,1,2,2,8,4,1,1,21,38,19,3,5,5,1,3,5,5,1,5,42,31,27,1,9,35,40,44,21,22,8,37,52,2,27,8,30,42,13,16,8,2
OPTIC,12,12,12,10,15,4,11,7,9,8,12,17,12,11,8,4,5,7,13,7,20,7,9,2,6,2,6,10,3,10,5,7,19,32,36,13,51,43,22,8,38,77,16,31,14,11,40,9,30,129,67,62,40,6,49,2,2,43,89,66,66,82,73,128,11,26,5,17,31,34,21,7,38,10,22,17,86,109,26,13,20,22,48,5,11,1,2,32,2,30,74,17,48,42,50,1,21,14,21,8,5,3,2,5,76,2,2,44,5,13,25,19,43,22,3,10,35,51,12,7,13,3,17,2,2,4,13,39,26,18,11,17,26,22,17,14,14,44,10,11,23,19,50,31,2,13,30,1,1,8,8,9,34,41,15,135,14,42,9,64,27,9,54,22,5,1,5,45,21,1,1,1,1,1,1,3,2,2,11,2,2,8,2,1,1,2,3,14,16,3,1,7,1,15,1,2,3,18,12,3,1,17,2,1,23,15,61,22,16,5,18,3,5,16,12,18,12,39,12,9,26,33,20,9,89,40,10,30,34,55,19,22,57,49,13,74,74,75,13,30,24,27,9,30,14,17,38,42,47,89,14,11,36,36,7,7,25,16,66,23,1,5,6,4,1,1,1,1,1,1,1,2,2,2,2,1,1,5,29,28,18,18,22,14,5,4,7,14,23,5,12,5,41,9,25,29,21,35,51,57,48,63,16,48,33,51,35,9,58,2,20,14,13,14,8,9,2,2,5,1,2,10,2,2,2,2,14,15,16,11,4,30,13,21,5,2,5,35,17,31,9,2,7,26,19,58,26,46,8,15,52,12,9,8,1,3,13,16,32,9
OUGHT,24,17,17,10,8,6,8,18,138,87,76,77,13,54,38,2,3,24,40,26,6,15,43,40,10,29,3,2,5,34,21,51,26,8,31,1,73,60,7,18,1,108,67,12,8,35,40,4,30,49,6,27,2,5,2,2,32,43,18,7,18,19,20,27,1,3,8,1,8,8,9,2,5,6,1,1,4,4,4,1,2,27,35,28,37,8,1,12,7,2,5,4,5,7,7,1,48,20,9,51,1,3,29,1,106,9,3,44,3,7,16,1,67,35,27,38,35,51,1,13,3,5,17,1,1,9,6,39,10,12,7,20,4,6,27,20,1,50,112,107,19,26,46,1,3,4,30,20,19,6,7,2,14,22,6,21,5,1,16,16,7,1,82,6,13,5,4,45,24,1,2,1,1,1,2,9,6,46,2,9,14,46,15,6,1,12,29,35,23,2,8,29,1,47,3,3,8,22,17,6,26,23,1,4,11,30,33,1,1,28,38,29,3,26,1,16,8,15,1,1,12,12,3,1,2,34,1,30,35,60,4,14,75,51,50,31,31,30,35,27,9,35,30,2,1,20,4,15,2,89,3,34,36,61,28,2,25,25,29,2,8,1,6,1,22,38,41,4,27,4,19,38,44,30,28,4,19,21,26,22,4,3,20,4,22,13,15,14,23,21,4,15,17,16,3,10,5,6,12,13,13,1,6,56,16,13,35,42,9,9,1,1,10,1,3,1,16,15,1,14,2,1,18,19,9,8,7,15,4,5,8,45,27,17,6,20,56,10,4,49,7,10,3,11,9,42,24,30,15,1,72,74,16,45,8,30,13,16,4,2
OUTGO,82,57,57,45,47,30,30,68,138,87,76,77,13,54,38,14,8,24,40,26,6,15,43,40,23,29,9,1,3,34,21,51,26,21,31,4,73,60,18,55,22,108,67,12,24,35,40,9,30,49,6,27,20,5,2,6,0,43,18,1,18,19,20,27,1,2,8,2,8,8,11,2,5,6,1,3,4,4,4,0,2,27,39,0,53,4,2,32,2,24,23,27,10,10,11,3,48,20,0,51,3,14,29,10,106,10,5,44,2,7,16,0,67,35,3,38,35,51,4,26,0,5,17,4,3,9,6,39,10,12,14,20,4,6,62,29,4,50,112,107,19,26,46,2,6,13,30,1,0,4,3,7,14,22,16,21,21,10,16,16,7,3,82,15,13,1,2,45,54,0,0,0,0,1,0,18,0,46,3,18,43,46,0,3,2,22,29,35,23,19,7,29,10,47,5,7,8,22,17,17,26,23,9,2,31,30,33,8,1,28,38,29,6,26,6,14,35,39,12,3,26,33,33,3,42,40,1,30,35,60,7,14,75,51,50,31,31,30,35,27,9,35,30,30,14,20,4,15,27,89,5,34,36,61,28,6,25,25,29,2,8,5,6,3,22,38,41,14,27,14,19,38,44,30,28,6,19,21,26,22,18,3,20,16,22,13,15,14,23,21,7,15,17,16,3,10,5,6,12,13,13,19,20,56,16,57,35,42,9,27,1,3,22,2,18,4,16,15,5,14,7,1,18,19,9,8,16,34,4,16,17,45,27,17,17,3,56,10,14,49,21,12,9,11,88,91,42,46,41,4,72,74,64,45,4,3,13,16,4,7
OWING,40,30,30,45,105,74,17,33,62,44,35,33,9,15,38,11,9,1,96,68,8,8,43,11,14,4,31,5,2,34,32,23,20,45,41,11,51,43,26,28,38,77,28,10,10,35,40,14,1,129,9,18,40,17,8,4,8,43,89,15,26,17,73,128,8,4,11,6,8,8,11,1,5,6,4,10,14,22,23,4,9,27,48,23,64,33,4,32,17,103,74,32,25,42,50,79,32,12,2,60,3,26,3,29,76,1,4,44,17,37,107,19,29,22,38,14,19,1,8,28,3,11,21,1,1,9,13,6,59,70,22,63,24,8,62,31,13,44,57,35,17,20,50,3,3,14,30,8,37,23,2,29,77,75,60,135,32,42,47,64,42,12,20,22,3,11,33,17,57,1,2,2,1,1,1,5,28,47,14,7,29,26,7,24,35,10,70,95,15,36,1,29,10,47,5,18,25,101,81,28,66,122,44,65,31,40,42,21,27,4,38,29,17,1,15,10,35,39,21,22,1,1,56,9,89,40,9,30,34,55,32,30,26,19,29,74,74,17,16,16,6,9,30,30,12,53,7,12,47,89,18,34,36,14,16,9,1,28,43,5,4,7,7,13,16,21,21,13,11,21,6,38,44,30,14,22,15,12,20,14,14,7,8,9,21,8,25,2,16,23,25,48,72,63,7,10,11,9,51,57,13,63,1,2,1,2,1,1,1,20,11,11,12,3,72,13,27,3,8,6,23,4,8,2,28,14,1,4,9,26,23,17,5,10,17,17,34,9,11,23,27,8,30,11,6,5,2,2,2,2,6,7,2,2,3,4,1,1,2,29
PHONY,14,13,13,10,15,2,5,4,138,87,76,77,10,11,27,5,17,5,96,21,11,8,4,40,3,13,10,8,2,5,6,5,25,20,39,35,30,20,17,4,4,47,67,11,7,25,11,21,6,129,11,18,18,17,5,11,32,5,36,15,7,5,30,53,3,9,8,6,19,10,3,2,5,5,27,18,36,47,7,29,27,12,4,4,2,9,4,2,2,4,38,8,3,4,4,11,36,13,43,5,5,3,13,7,46,1,13,5,17,24,11,19,4,18,41,7,6,3,26,55,13,11,4,25,7,1,1,3,34,11,8,17,17,4,3,3,29,24,112,37,2,10,29,31,12,2,1,26,37,23,2,8,44,75,26,54,8,6,24,29,26,10,2,3,1,2,7,4,1,10,12,8,12,54,4,1,1,9,8,4,1,1,1,2,1,5,10,13,2,3,1,1,1,1,1,2,1,7,6,1,4,6,1,6,11,55,46,32,7,7,13,1,10,6,7,1,5,3,3,3,2,1,8,2,13,2,22,18,21,36,9,31,75,51,14,74,74,17,35,15,5,6,1,5,3,17,6,12,20,39,8,13,5,23,1,3,1,28,43,1,6,3,1,4,12,12,18,14,1,14,4,1,1,1,1,4,2,40,62,37,37,5,5,8,9,11,3,1,4,1,16,48,72,11,4,10,11,1,19,23,2,17,56,56,7,13,4,1,7,7,12,2,1,1,1,36,7,10,6,9,6,8,24,5,9,11,69,118,3,26,10,2,6,1,6,6,3,1,100,6,75,31,10,4,11,18,1,6,1,33,35,6,3,5,11,44,3,3,2,2
PHOTO,14,13,13,0,15,2,9,18,138,87,76,77,46,54,0,0,0,0,96,21,57,15,43,40,10,29,10,8,5,34,39,51,25,1,12,15,73,60,1,18,31,108,67,59,24,0,0,0,0,129,67,62,18,17,49,6,0,43,89,42,66,82,73,128,0,0,12,21,0,0,4,34,38,0,11,18,86,109,26,0,9,22,35,0,8,8,4,12,7,4,38,18,29,30,34,14,48,82,0,14,17,3,29,15,106,10,5,44,5,30,25,0,67,0,10,0,0,0,12,26,0,11,5,25,22,0,13,39,59,18,19,17,7,44,2,20,12,50,112,107,8,24,46,31,6,1,30,20,0,8,8,1,77,75,26,135,23,29,24,64,7,13,82,1,13,5,8,45,2,66,12,4,8,0,59,0,1,3,8,2,2,5,0,1,1,2,10,13,9,3,1,3,0,4,1,2,2,9,8,2,4,9,4,2,15,55,46,12,0,28,0,0,0,0,3,7,0,0,0,0,0,0,8,3,13,15,12,30,35,60,1,8,75,51,14,74,74,75,35,27,29,35,0,0,0,17,38,42,20,89,1,0,0,61,0,0,0,54,66,23,8,0,0,1,6,10,18,4,10,4,0,0,0,0,0,0,19,21,26,22,18,17,20,16,0,0,0,0,0,0,0,36,41,9,25,29,21,23,51,57,48,17,20,56,52,13,0,0,58,5,4,3,4,0,1,12,1,15,0,4,3,2,18,19,1,12,16,34,25,25,12,28,41,6,8,9,11,23,100,49,21,12,10,70,11,18,13,6,0,15,72,18,16,10,8,10,0,0,32,1
